aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
4356191,白清溪,"64,699",126,"1,778",0,2022-01-01,架空历史,,1,1,29804,原来他这样爱我。,6352060,23891,9.4,0,轻松,"宫廷侯爵,天作之合,重生,甜文",一枕徽梦（重生）,2022-05-17,"478,888",言情,原创
4845516,春狂,"10,801",98,675,0,2022-06-15,架空历史,,1,1,5067,种田基建搞事业,6981332,63249,8.3,0,轻松,"穿越时空,系统,爽文,基建",我靠农业系统在古代当国师,2022-11-03,"320,807",言情,原创
2483035,见昀,491,36,57,0,2020-07-27,架空历史,,1,0,261,你是我跨越死生轮回想见的人,4388886,112351,8.0,0,正剧,"强强,灵异神怪,情有独钟,前世今生",知君仙骨2,2021-01-07,"117,957",纯爱,原创
2483035,见昀,358,77,36,0,2019-11-12,架空历史,,1,0,227,不求神佛，只求君,4165981,247283,9.3,0,正剧,"强强,灵异神怪,情有独钟,天作之合",江山未老,2020-04-13,"262,550",纯爱,原创
4356191,白清溪,"8,349",73,"3,825",0,2022-12-27,架空历史,,1,1,8140,什么端方君子，装够了。,6745106,29718,,0,轻松,"情有独钟,天作之合,重生,甜文",一峥江月（重生）,2023-02-16,"285,213",言情,原创
2483035,见昀,"4,080",187,219,0,2019-04-23,架空历史,,1,1,2107,半缘修道半缘君,4122214,52356,9.5,0,正剧,"灵异神怪,情有独钟,因缘邂逅,仙侠修真",知君仙骨,2022-06-06,"743,199",纯爱,原创
4356191,白清溪,"35,507",161,"5,044",0,2022-06-08,架空历史,,1,1,30240,黑心太子真香日常,6523811,23644,9.4,0,轻松,"宫廷侯爵,情有独钟,天作之合,天之骄子",初绾云鬓,2022-10-29,"648,733",言情,原创
460447,木易雨山,722,47,288,0,2010-05-23,架空历史,,1,0,102,叠叠乐，真可爱,732203,273721,暂无评,0,轻松,"灵魂转换,宫廷侯爵,情有独钟,穿越时空",我们的树洞,2022-12-31,"3,804",言情,原创
3594945,千阙辞,"2,703",56,251,0,2022-10-03,近代现代,,1,1,2047,万人迷只想躺平,6301808,122681,7.1,0,轻松,"豪门世家,欢喜冤家,重生,穿书",偏执攻的病弱白月光摆烂了,2022-12-10,"162,315",纯爱,原创
1107838,羽小树,"5,316",53,"1,358",0,2018-04-03,近代现代,,1,1,2171,魔法少男小唐同学,3129995,110919,8.8,0,轻松,"强强,青梅竹马,异能,直播",被动变身,2019-03-30,"157,278",纯爱,原创
2222266,怯喜,"35,616",61,"3,356",0,2021-11-09,近代现代,,1,1,25564,带你去追太阳：）,4900907,39928,9.1,0,轻松,"豪门世家,情有独钟,天作之合,甜文",橙花,2022-01-15,"343,748",言情,原创
4174017,梅燃,"10,813",59,"1,326",0,2022-12-20,架空历史,,1,1,7489,我与诈尸皇帝的鬼故事,6638017,44855,,0,正剧,"宫廷侯爵,欢喜冤家,天作之合,爽文",雀金裘,2023-02-16,"212,472",言情,原创
