aid,author,era,nid,rank,rank_date,tags,title,vip_date,word_count,xx,yc
5338021,陈皮绿豆,架空历史,7626748,56,2023-02-18,"情有独钟,天作之合,阴差阳错,史诗奇幻",误把反派当路人甲后,2023-02-15,9.14万,言情,原创
3126736,一个点两个点三个点,架空历史,6767368,57,2023-02-18,"强强,生子,天作之合,仙侠修真",有孩,2023-02-15,12.33万,纯爱,原创
3854451,笑沉绿蚁,架空历史,7553299,54,2023-02-19,"宫廷侯爵,情有独钟,市井生活,朝堂之上",纨绔同窗是大佬,2023-02-16,21.31万,言情,原创
777569,永暗,幻想未来,4638973,55,2023-02-19,"奇幻魔幻,女强,西幻",魔法少女和她的宠物,2023-02-16,11.66万,言情,原创
672271,丛晓暮,架空历史,6396787,46,2023-02-21,"天作之合,仙侠修真,甜文,穿书",小师妹不愿再当对照女配,2023-02-18,25.25万,言情,原创
4824132,麓小鱼,近代现代,7070460,47,2023-02-21,"情有独钟,破镜重圆,娱乐圈,直播",腹黑影后的小娇妻不跑啦,2023-02-18,8.52万,百合,原创
4593732,惊蛰里,近代现代,6848303,48,2023-02-21,"破镜重圆,天作之合,穿越时空,校园",穿成儿子同桌，和他兄弟HE了,2023-02-18,25.34万,纯爱,原创
2121146,权笑笑,架空历史,5395689,49,2023-02-21,"女配,爽文,古代幻想",病弱女配不做人了,2023-02-18,15.4万,言情,原创
5362928,念孜,近代现代,7673938,50,2023-02-21,"情有独钟,欢喜冤家",无尽夏[校园],2023-02-18,16.54万,言情,原创
4673922,渃笺,幻想未来,6924179,38,2023-02-20,"系统,甜文,未来架空",大美人在无限流快穿,2023-02-17,22.31万,言情,原创
5396497,向光鲤,架空历史,7704866,39,2023-02-20,"前世今生,青梅竹马,成长,异闻传说",变成鬼后我和退婚竹马he了,2023-02-17,10.44万,言情,原创
4627003,码字姬爱睡觉,近代现代,6742216,40,2023-02-20,"强强,都市情缘,情有独钟,破镜重圆",清冷前女友每天守着说爱我,2023-02-17,8.05万,百合,原创
1861423,涿羽,架空历史,4911410,39,2023-02-17,"强强,年下,情有独钟,因缘邂逅",退休影卫养崽指南,2023-02-14,16.8万,纯爱,原创
3427766,喵左喵右,近代现代,5420128,40,2023-02-17,"都市情缘,近水楼台,恋爱合约,甜文",和男神总裁协议恋爱后,2023-02-14,18.18万,言情,原创
4238082,清清淞淞,近代现代,6306353,41,2023-02-17,"时代奇缘,系统,爽文",对付人渣，我偏要“以牙还牙”[系统],2023-02-14,16.81万,言情,原创
4667622,西语居,架空历史,6748550,42,2023-02-17,"宫廷侯爵,情有独钟,因缘邂逅,天之骄子",世子今天犯病了吗,2023-02-14,25.27万,言情,原创
5200246,青衣无袖,架空历史,7431315,43,2023-02-17,"宫廷侯爵,天作之合,宫斗,复仇虐渣",帘卷朱砂,2023-02-14,20.51万,言情,原创
4362706,蔻天,幻想未来,6419217,58,2023-02-18,"强强,星际,穿书,爽文",攻略那个反派女A[女A男O],2023-02-15,7.18万,言情,原创
5294506,送京,近代现代,7571798,59,2023-02-18,"强强,情有独钟,重生,成长",重生和死对头谈恋爱,2023-02-15,12.31万,言情,原创
3708612,沈霖然,近代现代,7370510,56,2023-02-19,"恐怖,无限流,都市异闻,异闻传说",疯子的房间[无限],2023-02-16,14.98万,无CP,原创
4445868,村口那只鹅,架空历史,6699837,51,2023-02-21,"仙侠修真,女强,系统,爽文",绑定三个攻略系统后,2023-02-18,9.84万,言情,原创
2200349,微微紫苏,架空历史,7527272,52,2023-02-21,"布衣生活,穿越时空",俗人的科举青云路,2023-02-18,21.21万,言情,原创
2101216,斯礼,古色古香,4463089,53,2023-02-21,"宫廷侯爵,近水楼台,天之骄子,平步青云",小宅门大宅门,2023-02-18,81.66万,言情,原创
5272322,别山玙,架空历史,7529304,54,2023-02-21,"强强,宫廷侯爵,逆袭",庶女难当,2023-02-18,33.45万,言情,原创
4300251,含沚,近代现代,6347234,41,2023-02-20,"破镜重圆,竞技,游戏网游,甜文",甩了网恋翻车以后[电竞],2023-02-17,57.87万,言情,原创
