aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,ndlist_date,ndlist_rank,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
2078814,三日成晶,"42,118",63,"3,364",0,2017-07-12,架空历史,,1,1,13322,死士小哥你别跑，别逼妹妹放大招,0000-00-00,-1,3260596,28876,8.7,5.6亿,轻松,"穿越时空,穿书,爽文",追夫十八式（穿书）,2020-01-13,"223,999",言情,原创
2078814,三日成晶,"162,625",85,"28,130",0,2022-12-01,架空历史,,1,1,72164,糟了，这饭的味儿好像不太对。,0000-00-00,-1,7438963,11077,,15.8亿,轻松,"情有独钟,仙侠修真,重生,成长",这碗软饭我先干为敬,2023-02-26,"408,387",言情,原创
4414417,一山群青,675,30,129,0,2023-01-04,近代现代,,1,1,823,断情绝爱后他们追悔莫及,2023-02-27,16,7673873,136954,,959.4万,正剧,"豪门世家,爱情战争,天之骄子,逆袭",劣质的万人迷,2023-02-26,"105,991",纯爱,原创
2078814,三日成晶,"124,478",83,"11,135",0,2018-11-23,近代现代,,1,1,36058,别碰！戒不掉！,0000-00-00,-1,3557238,1414,9.6,9.7亿,轻松,"穿越时空,快穿,穿书,爽文",男配有毒！[穿书],2019-03-04,"423,313",言情,原创
4414417,一山群青,451,25,31,0,2021-12-26,近代现代,,1,0,117,失忆后我多了个男朋友,0000-00-00,-1,6418436,278540,暂无评,127.3万,轻松,"情有独钟,天作之合,女配,穿书",前男友变疯批了怎么办,2022-11-02,"23,513",言情,原创
4414417,一山群青,"14,910",65,754,0,2022-01-03,近代现代,,1,1,4038,狗狗叛逆日常（男｜德版）,0000-00-00,-1,6437502,103890,8.5,3881.2万,轻松,"情有独钟,平步青云,甜文,年代文",钓系美人在七零[穿书],2022-04-14,"204,732",言情,原创
2146080,归鸿落雪,"9,027",70,"2,478",0,2020-05-17,架空历史,,1,1,13449,药引子竟是我自己,0000-00-00,-1,4839154,30205,9.1,1.8亿,正剧,"强强,情有独钟,阴差阳错",晚来雪,2022-05-04,"194,366",纯爱,原创
2146080,归鸿落雪,"164,744",222,"76,938",0,2022-08-13,架空历史,,1,1,144963,咸鱼VS卷王,0000-00-00,-1,4524566,3626,9.8,16.4亿,正剧,"强强,宫廷侯爵,前世今生,相爱相杀",揽明月,2023-02-10,"736,588",纯爱,原创
2146080,归鸿落雪,"17,050",35,"5,500",0,2022-08-15,近代现代,,1,1,22020,班长他有两幅面孔,2023-02-19,2,6779144,18274,,2.7亿,轻松,"异能,甜文,校园",闭嘴我不听,2023-02-20,"107,199",纯爱,原创
2146080,归鸿落雪,"132,170",200,"30,836",0,2021-08-28,架空历史,,1,1,97955,孩子他娘是个男的,0000-00-00,-1,6046220,8226,9.5,10.3亿,正剧,"强强,生子,仙侠修真,相爱相杀",不为,2022-05-26,"812,204",纯爱,原创
