aid,author,genre,nid,rank,rank_date,tags,title,vip_date,wd_count,xx,yc
1810865,退戈,原创-言情-架空历史-奇幻,6883339,1,2023-02-09,"励志人生,爽文,东方玄幻,古代幻想",社稷山河剑,2023-02-06 00:00:01,9.68万,言情,1
4331564,云十九,衍生-言情-近代现代-东方衍生,7229937,2,2023-02-09,"综漫,直播,咒回,柯南",我靠贩卖咒灵日赚一亿,2023-02-06 00:00:00,9.32万,言情,2
2870284,锦桑桑,原创-言情-近代现代-剧情,6395338,3,2023-02-09,"打脸,穿书,爽文,复仇虐渣",满级卷王退休后教书爆红,2023-02-06 00:00:00,6.54万,言情,1
4340030,舒月清,原创-言情-近代现代-剧情,6660222,4,2023-02-09,"业界精英,励志人生",寡王一路硕博,2023-02-06 12:00:00,6.82万,言情,1
3304413,云劫,原创-纯爱-幻想未来-科幻,5088503,1,2023-02-15,"情有独钟,天之骄子,穿越时空,星际",他穿成了帝国瑰宝,2023-02-12 00:00:30,9.95万,纯爱,1
4980740,萨摩耶摇尾巴,原创-纯爱-近代现代-爱情,7234474,2,2023-02-15,"豪门世家,青梅竹马,甜文,穿书",认回亲爹后我在娃综爆红了,2023-02-12 00:00:00,9.38万,纯爱,1
4672470,Morisawa,原创-纯爱-幻想未来-爱情,6854399,3,2023-02-15,"强强,穿越时空,异能,末世",渡劫大佬在异世咸鱼[穿书],2023-02-12 00:00:00,8.97万,纯爱,1
2397079,暮光里的钟声,原创-纯爱-幻想未来-爱情,5576214,1,2023-02-11,"生子,星际,甜文",嫁入皇室的beta,2023-02-08 00:01:00,8.82万,纯爱,1
3816957,寒光里,原创-言情-近代现代-爱情,6396093,2,2023-02-11,"情有独钟,欢喜冤家,励志人生,甜文",关于邻居是公主病这件事情，我无可奉告,2023-02-08 00:05:00,7.75万,言情,1
4304085,月莓莓兔,原创-纯爱-近代现代-爱情,6333384,8,2023-02-12,"年下,娱乐圈,重生,甜文",咸鱼后和顶流上恋综爆红,2023-02-09 00:02:02,9.27万,纯爱,1
3775802,灯火荧煌,原创-言情-幻想未来-剧情,6883149,9,2023-02-12,江湖恩怨,这世界突然就变成了低武,2023-02-09 04:01:04,8.95万,言情,1
5344915,清酒加冰,原创-百合-近代现代-爱情,7632097,10,2023-02-12,"年下,情有独钟,因缘邂逅,娱乐圈",傲娇御姐的直球攻略,2023-02-09 04:00:48,15.54万,百合,1
3907789,笙小,衍生-纯爱-近代现代-东方衍生,7392057,11,2023-02-12,"综漫,家教,文野,咒回",失忆NPC可以成为白月光吗,2023-02-09 21:00:00,9.25万,纯爱,2
814759,有猫在,原创-纯爱-近代现代-爱情,7653433,1,2023-02-01,"幻想空间,情有独钟,重生,甜文",倒霉直男变成Omega之后,2023-01-29 23:12:46,8.03万,纯爱,1
5320533,美少女dibala,原创-言情-幻想未来-爱情,7636351,5,2023-02-13,"西方罗曼,穿书,西幻",因为不想被抛弃，所以塞西莉亚抛弃了所有人,2023-02-10 04:00:53,9.19万,言情,1
2510892,五城,衍生-无CP-近代现代-西方衍生,6844635,6,2023-02-13,"英美衍生,系统,超级英雄,基建",[综英美]我在哥谭当市长的那些年,2023-02-10 04:00:48,12.69万,无CP,2
1761357,睡芒,原创-纯爱-架空历史-爱情,6413760,1,2023-02-08,"宫廷侯爵,甜文,爽文,朝堂之上",桃花令,2023-02-05 00:00:48,9.67万,纯爱,1
2084321,行道,原创-纯爱-幻想未来-轻小说,7306697,6,2023-02-16,"幻想空间,灵异神怪,爽文,都市异闻",辞职失败只好拯救世界了,2023-02-13 06:00:00,8.54万,纯爱,1
5198017,见星帘,原创-言情-近代现代-爱情,7443939,7,2023-02-16,"豪门世家,情有独钟,天作之合,天之骄子",刺玫难驯,2023-02-13 00:00:00,6.69万,言情,1
3113878,风析木,原创-言情-近代现代-爱情,7369345,8,2023-02-16,甜文,我喜欢你哥你哭什么？,2023-02-13 15:24:39,7.01万,言情,1
2652661,门庆姓西,原创-百合-近代现代-爱情,7384871,9,2023-02-16,"强强,年下,都市情缘",满分学生手册,2023-02-13 09:47:25,20.57万,百合,1
5392593,养猫的鸽子,衍生-无CP-幻想未来-其他衍生,7699596,10,2023-02-16,"综漫,少年漫,文野,咒回",捡到剧本之后,2023-02-13 09:00:00,12.71万,无CP,2
949671,想吃鱼的喵喵,原创-言情-近代现代-爱情,7665362,11,2023-02-16,"异国奇缘,西方罗曼,业界精英,时尚流行",爱在巴塞罗那[足球],2023-02-13 15:32:36,18.75万,言情,1
1899383,孤雏,原创-言情-近代现代-悬疑,7311579,12,2023-02-16,"都市情缘,情有独钟,穿越时空,悬疑推理",第二十五小时[刑侦],2023-02-13 09:40:00,7.54万,言情,1
5323608,沉缄,原创-言情-近代现代-爱情,7603696,13,2023-02-16,"时代奇缘,灵魂转换,励志人生,爽文",豪门后妈带兽崽在兽世爆红了,2023-02-13 04:00:45,19.16万,言情,1
5268684,澜璘,原创-言情-近代现代-爱情,7523980,14,2023-02-16,"都市情缘,情有独钟,破镜重圆",偏心,2023-02-13 15:41:56,28.54万,言情,1
3113878,风析木,原创-纯爱-架空历史-爱情,4889782,5,2023-02-14,"强强,年下,欢喜冤家,相爱相杀",本公公独霸后宫,2023-02-11 04:00:50,9.49万,纯爱,1
5138647,无倦河山,原创-言情-架空历史-仙侠,7538841,6,2023-02-14,"情有独钟,仙侠修真,甜文,东方玄幻",苗疆少主早死的白月光,2023-02-11 15:00:08,9.95万,言情,1
2221234,疯语人,衍生-纯爱-近代现代-西方衍生,7659160,7,2023-02-14,"英美衍生,天作之合,穿越时空,超级英雄",如何避免成为罗宾鸟[综英美],2023-02-11 00:00:00,8.67万,纯爱,2
2277172,炉香微醺,衍生-言情-古色古香-东方衍生,6796516,8,2023-02-14,"随身空间,历史衍生,甜文,爽文",我在大秦解锁全he,2023-02-11 20:35:34,8.9万,言情,2
4129069,小山亭,原创-言情-古色古香-仙侠,6453418,9,2023-02-14,"生子,女配,甜文",我养大了三只反派崽崽,2023-02-11 01:35:07,8.54万,言情,1
4581409,陌凉笙,衍生-无CP-近代现代-东方衍生,7409560,10,2023-02-14,"综漫,黑篮,系统,咒回",绑定隐藏成就游戏系统后,2023-02-11 04:00:47,11.14万,无CP,2
4823013,张部尚书,原创-言情-架空历史-爱情,7000806,11,2023-02-14,"宫廷侯爵,情有独钟,天作之合",和离后首辅他火葬场了,2023-02-11 00:00:00,9.76万,言情,1
927011,莫千年,原创-纯爱-幻想未来-爱情,7207646,12,2023-02-14,"幻想空间,科幻,情有独钟,星际",最强星舰设计师[星际],2023-02-11 15:00:00,11.34万,纯爱,1
3878004,化云浮灯,原创-言情-架空历史-奇幻,7329761,13,2023-02-14,"情有独钟,天作之合,东方玄幻",甜文女主认错男主后,2023-02-11 15:32:54,8.62万,言情,1
48075,颜凉雨,原创-纯爱-近代现代-爱情,6750244,1,2023-02-07,无限流,从盒而来,2023-02-04 12:00:00,9.12万,纯爱,1
2004165,禁庭春昼,原创-纯爱-近代现代-爱情,7032718,2,2023-02-07,"都市情缘,天作之合,婚恋,甜文",和孟律师结婚之后,2023-02-04 00:00:01,8.75万,纯爱,1
2748630,兔子店长,衍生-纯爱-近代现代-东方衍生,6635220,3,2023-02-07,"综漫,强强,少年漫,柯南",论坛暴言成真后,2023-02-04 00:00:00,9.8万,纯爱,2
1556351,冬溥,原创-纯爱-幻想未来-爱情,7482425,4,2023-02-07,"强强,破镜重圆,机甲,星际",少将，您认错人了。,2023-02-04 21:00:00,12.34万,纯爱,1
913789,木木梧桐桐,衍生-言情-近代现代-东方衍生,6466469,5,2023-02-07,"综漫,少女漫,少年漫,咒回",这位同学明明超强却过分沙雕,2023-02-04 09:00:00,9.8万,言情,2
5389059,大王木木,原创-言情-近代现代-爱情,7694688,6,2023-02-07,"重生,励志人生,校园",重回初三之系统逼我当学霸,2023-02-04 06:38:57,10.14万,言情,1
